CGT_R2_null;CGT_R2_env;CGT_Q;CGT_pQ;CGT_BF
0.488 [0.402, 0.626];0.461 [0.368, 0.54];-0.027 [-0.152, 0.144];0.35;0.5
0.498 [0.393, 0.638];0.46 [0.356, 0.578];-0.038 [-0.203, 0.169];0.33;0.5
0.455 [0.331, 0.593];0.43 [0.289, 0.55];-0.024 [-0.196, 0.19];0.37;0.6
0.496 [0.38, 0.573];0.457 [0.357, 0.535];-0.039 [-0.22, 0.076];0.29;0.4
0.493 [0.365, 0.593];0.458 [0.371, 0.558];-0.036 [-0.182, 0.117];0.34;0.5
0.453 [0.322, 0.573];0.42 [0.327, 0.526];-0.034 [-0.161, 0.152];0.31;0.4
0.498 [0.38, 0.607];0.473 [0.384, 0.553];-0.025 [-0.177, 0.135];0.38;0.6
0.478 [0.359, 0.597];0.441 [0.352, 0.541];-0.037 [-0.227, 0.103];0.37;0.6
0.476 [0.381, 0.598];0.441 [0.377, 0.547];-0.035 [-0.146, 0.122];0.36;0.6
0.485 [0.362, 0.631];0.446 [0.375, 0.551];-0.039 [-0.168, 0.1];0.29;0.4
