CS_LR2_beta_env;CS_LR2_R2_env;CS_LR2_Q;CS_LR2_pQ;CS_LR2_BF
0.278 [0.162, 0.357];0.183 [0.093, 0.329];-0.623 [-0.741, -0.385];0;-
0.217 [0.143, 0.264];0.164 [0.091, 0.304];-0.531 [-0.647, -0.355];0;-
0.081 [0.053, 0.115];0.081 [0.04, 0.132];-0.448 [-0.619, -0.245];0;-
0.23 [0.163, 0.298];0.166 [0.086, 0.293];-0.51 [-0.651, -0.335];0;-
0.233 [0.168, 0.294];0.18 [0.102, 0.295];-0.519 [-0.655, -0.289];0;-
0.075 [0.056, 0.107];0.073 [0.037, 0.124];-0.57 [-0.676, -0.357];0;-
0.218 [0.154, 0.28];0.173 [0.099, 0.243];-0.526 [-0.678, -0.32];0;-
0.109 [0.075, 0.161];0.102 [0.056, 0.2];-0.58 [-0.713, -0.397];0;-
0.223 [0.162, 0.288];0.164 [0.101, 0.261];-0.571 [-0.694, -0.355];0;-
0.227 [0.159, 0.281];0.159 [0.081, 0.232];-0.512 [-0.664, -0.31];0;-
