LC_beta_env;LC_R2_env;LC_Q;LC_pQ;LC_BF
5.657 [5.11, 6.444];0.098 [0.082, 0.121];-0.127 [-0.137, -0.116];0;-
5.628 [5.166, 6.175];0.098 [0.085, 0.116];-0.134 [-0.154, -0.116];0;-
5.421 [5.001, 6.56];0.095 [0.082, 0.129];-0.126 [-0.135, -0.114];0;-
5.482 [5.124, 5.95];0.094 [0.083, 0.108];-0.13 [-0.145, -0.115];0;-
5.123 [4.785, 5.397];0.081 [0.073, 0.092];-0.125 [-0.133, -0.117];0;-
5.135 [4.719, 5.639];0.081 [0.072, 0.098];-0.126 [-0.135, -0.12];0;-
5.176 [4.895, 5.747];0.084 [0.076, 0.099];-0.13 [-0.137, -0.124];0;-
5.317 [4.84, 6.207];0.088 [0.074, 0.113];-0.136 [-0.154, -0.121];0;-
5.456 [4.874, 6.258];0.094 [0.074, 0.118];-0.134 [-0.159, -0.113];0;-
5.265 [4.994, 5.768];0.087 [0.078, 0.102];-0.126 [-0.134, -0.117];0;-
