LC_LR1_beta_env;LC_LR1_R2_env;LC_LR1_Q;LC_LR1_pQ;LC_LR1_BF
0.066 [0.055, 0.079];0.262 [0.17, 0.339];0.109 [0.059, 0.157];1;Inf
0.045 [0.031, 0.056];0.094 [0.048, 0.145];0.018 [-0.001, 0.041];0.96;4
0.049 [0.03, 0.071];0.131 [0.062, 0.217];0.072 [0.014, 0.125];1;6.7
0.066 [0.054, 0.082];0.182 [0.119, 0.256];0.057 [0.026, 0.089];1;15.7
0.055 [0.045, 0.062];0.156 [0.118, 0.198];0.072 [0.053, 0.1];1;Inf
0.066 [0.053, 0.076];0.187 [0.135, 0.264];0.048 [0.015, 0.082];1;Inf
0.064 [0.052, 0.077];0.213 [0.142, 0.304];0.096 [0.066, 0.137];1;Inf
0.054 [0.045, 0.064];0.186 [0.131, 0.247];0.099 [0.069, 0.133];1;Inf
0.041 [0.029, 0.056];0.078 [0.042, 0.132];0.027 [-0.003, 0.047];0.97;3.8
0.057 [0.036, 0.078];0.16 [0.076, 0.245];0.081 [0.033, 0.149];1;10.1
0.082 [0.066, 0.102];0.259 [0.185, 0.402];0.025 [-0.03, 0.088];0.81;-
0.065 [0.051, 0.079];0.141 [0.082, 0.201];0.013 [-0.012, 0.047];0.76;-
0.073 [0.061, 0.086];0.211 [0.154, 0.275];0.074 [0.043, 0.105];1;Inf
0.062 [0.047, 0.074];0.129 [0.076, 0.176];0.057 [0.031, 0.093];1;99
0.07 [0.058, 0.084];0.218 [0.155, 0.312];0.069 [0.033, 0.119];1;Inf
0.089 [0.066, 0.107];0.322 [0.219, 0.457];0.007 [-0.058, 0.071];0.62;-
0.066 [0.053, 0.077];0.192 [0.131, 0.247];0.047 [0.008, 0.089];0.99;99
0.073 [0.056, 0.091];0.207 [0.138, 0.306];0.046 [0.007, 0.087];0.98;9
0.048 [0.034, 0.062];0.132 [0.063, 0.208];0.057 [0.021, 0.096];1;15.7
0.061 [0.049, 0.07];0.168 [0.126, 0.22];0.031 [0.005, 0.058];1;7.3
0.077 [0.06, 0.088];0.259 [0.188, 0.335];0.074 [0.027, 0.121];1;Inf
0.067 [0.056, 0.085];0.183 [0.107, 0.273];0.089 [0.039, 0.144];1;99
0.05 [0.038, 0.065];0.16 [0.092, 0.249];0.055 [0.018, 0.087];0.99;15.7
0.064 [0.048, 0.074];0.179 [0.12, 0.257];0.055 [0.025, 0.092];1;24
0.054 [0.043, 0.067];0.114 [0.069, 0.175];0.052 [0.028, 0.081];1;Inf
0.064 [0.05, 0.077];0.216 [0.128, 0.289];0.041 [0, 0.082];0.99;19
0.056 [0.043, 0.069];0.153 [0.09, 0.216];0.021 [-0.008, 0.05];0.89;-
0.065 [0.05, 0.086];0.158 [0.089, 0.227];0.082 [0.041, 0.128];1;99
0.069 [0.053, 0.088];0.201 [0.103, 0.281];0.086 [0.033, 0.125];1;Inf
0.057 [0.009, 0.07];0.16 [0.006, 0.209];0.075 [0.002, 0.109];0.99;19
0.093 [0.062, 0.117];0.239 [0.136, 0.349];0.007 [-0.049, 0.063];0.58;-
0.058 [0.047, 0.069];0.175 [0.121, 0.232];0.05 [0.026, 0.08];0.97;32.3
0.069 [0.05, 0.083];0.194 [0.095, 0.26];0.054 [0.015, 0.093];1;Inf
0.048 [0.035, 0.058];0.111 [0.072, 0.161];0.063 [0.037, 0.093];1;24
0.053 [0.043, 0.07];0.151 [0.089, 0.226];0.026 [-0.005, 0.059];0.95;19
0.064 [0.049, 0.076];0.213 [0.144, 0.297];0.091 [0.043, 0.125];1;Inf
0.069 [0.052, 0.09];0.234 [0.154, 0.315];0.061 [0.025, 0.104];1;24
0.06 [0.046, 0.074];0.135 [0.075, 0.194];0.071 [0.04, 0.112];1;99
0.052 [0.042, 0.064];0.15 [0.109, 0.223];0.042 [0.012, 0.069];1;99
0.093 [0.076, 0.111];0.263 [0.177, 0.341];0.094 [0.038, 0.142];1;99
0.053 [0.039, 0.072];0.134 [0.066, 0.202];0.064 [0.031, 0.114];0.99;49
0.06 [0.049, 0.072];0.158 [0.116, 0.217];0.009 [-0.009, 0.044];0.8;-
0.056 [0.042, 0.071];0.161 [0.08, 0.24];0.051 [0.014, 0.08];1;19
0.081 [0.067, 0.095];0.254 [0.188, 0.34];0.124 [0.086, 0.161];1;Inf
0.065 [0.05, 0.08];0.238 [0.144, 0.348];0.127 [0.073, 0.185];1;Inf
0.068 [0.054, 0.087];0.242 [0.149, 0.33];0.114 [0.059, 0.155];1;99
0.072 [0.054, 0.09];0.212 [0.127, 0.277];0.104 [0.058, 0.136];1;Inf
0.066 [0.053, 0.079];0.236 [0.151, 0.323];0.153 [0.088, 0.201];1;99
0.047 [0.034, 0.057];0.116 [0.067, 0.165];0.026 [-0.001, 0.051];0.98;6.7
0.061 [0.045, 0.075];0.148 [0.079, 0.212];0.016 [-0.032, 0.054];0.8;-
